time,origin_zone,dest_zone,counts
68400,1,0,"[3, 0, 1, 1, 1, 2, 2]"
10800,1,0,"[1, 0, 0, 0, 1, 0, 2]"
70800,1,1,"[1, 3, 3, 3, 1, 3, 6]"
74400,0,1,"[1, 0, 1, 1, 0, 1, 2]"
36000,1,0,"[1, 0, 1, 1, 1, 0, 0]"
1800,2,2,"[1, 1, 1, 0, 0, 1, 1]"
57600,0,1,"[1, 1, 0, 0, 0, 3, 1]"
67800,2,2,"[1, 1, 1, 0, 2, 1, 0]"
34800,2,2,"[1, 0, 1, 1, 0, 1, 0]"
0,1,0,"[2, 1, 0, 0, 0, 0, 1]"
72000,1,1,"[1, 2, 5, 3, 1, 4, 4]"
13200,1,0,"[1, 0, 0, 0, 0, 0, 3]"
78000,1,3,"[1, 0, 0, 0, 0, 0, 0]"
63600,2,2,"[1, 0, 0, 0, 0, 2, 0]"
42600,0,2,"[1, 0, 0, 0, 0, 0, 0]"
42000,0,1,"[2, 0, 0, 1, 0, 0, 1]"
27000,1,1,"[1, 3, 0, 1, 1, 2, 0]"
77400,1,1,"[1, 2, 10, 9, 1, 3, 3]"
46800,0,1,"[1, 0, 1, 1, 1, 1, 0]"
33600,2,1,"[2, 0, 0, 0, 0, 0, 0]"
66000,1,1,"[2, 6, 2, 3, 4, 1, 5]"
64800,1,1,"[1, 1, 2, 4, 1, 5, 5]"
4200,0,2,"[1, 0, 0, 0, 0, 0, 0]"
37800,2,2,"[1, 0, 1, 1, 0, 1, 1]"
46200,0,0,"[1, 1, 0, 0, 0, 1, 0]"
73800,1,1,"[1, 2, 11, 5, 2, 5, 1]"
27000,0,1,"[1, 0, 0, 1, 2, 2, 0]"
75600,1,2,"[1, 1, 0, 0, 0, 0, 1]"
65400,0,0,"[2, 1, 2, 1, 0, 2, 3]"
39000,1,1,"[1, 0, 5, 2, 2, 5, 3]"
50400,1,0,"[1, 1, 1, 3, 1, 2, 1]"
15000,0,0,"[1, 0, 0, 0, 0, 0, 3]"
30600,2,2,"[1, 1, 2, 1, 2, 1, 1]"
81000,1,0,"[1, 1, 1, 1, 0, 3, 2]"
36600,1,1,"[2, 1, 2, 1, 2, 2, 3]"
66600,0,0,"[1, 0, 2, 0, 0, 1, 0]"
69600,0,1,"[1, 0, 2, 3, 1, 2, 1]"
46200,2,2,"[1, 1, 0, 0, 1, 0, 0]"
72000,0,1,"[1, 0, 1, 0, 0, 2, 1]"
81000,1,2,"[1, 1, 1, 1, 0, 1, 1]"
69600,1,0,"[2, 2, 3, 1, 0, 2, 2]"
85800,1,0,"[1, 0, 1, 2, 2, 3, 5]"
34200,0,0,"[1, 1, 1, 0, 1, 0, 0]"
600,2,2,"[1, 1, 0, 0, 1, 0, 1]"
62400,0,1,"[1, 2, 0, 1, 0, 0, 1]"
37800,1,1,"[1, 2, 1, 1, 5, 6, 4]"
76200,1,1,"[2, 0, 3, 3, 1, 4, 4]"
39000,2,2,"[1, 2, 0, 0, 2, 1, 1]"
6600,2,2,"[1, 0, 0, 0, 0, 0, 0]"
10800,1,1,"[1, 0, 1, 1, 0, 0, 4]"
35400,1,1,"[1, 1, 4, 3, 1, 0, 4]"
16200,1,1,"[1, 0, 0, 0, 1, 0, 3]"
46800,1,0,"[1, 1, 0, 1, 1, 3, 2]"
50400,2,2,"[1, 1, 1, 0, 3, 1, 3]"
